"scenario","alpha_true","replicate","r_hat_used","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"sce2",1.2,6,0.986842279915603,0.986842279915603,0,0.00317102317655638,3,100,32,100,100,0.38,1,0.66,0.66,0.322902617682006
"sce2",1.2,6,0.986842279915603,0.986842279915603,0,0.00317102317655638,4,100,46,100,100,0.45,1,0.73,0.73,0.463294971641509
"sce2",1.2,6,0.986842279915603,0.986842279915603,0,0.00317102317655638,5,100,64,100,100,0.55,1,0.82,0.82,0.643034490549555
"sce2",1.2,7,0.987136751867401,0.987136751867401,0,0.00318047194860053,1,100,14,100,100,0.15,1,0.57,0.57,0.141580798834682
"sce2",1.2,7,0.987136751867401,0.987136751867401,0,0.00318047194860053,2,100,26,100,100,0.3,1,0.63,0.63,0.262514181784556
"sce2",1.2,7,0.987136751867401,0.987136751867401,0,0.00318047194860053,3,100,35,100,100,0.38,1,0.675,0.675,0.352962363520962
"sce2",1.2,7,0.987136751867401,0.987136751867401,0,0.00318047194860053,4,100,33,100,100,0.45,1,0.665,0.665,0.332881283882185
"sce2",1.2,7,0.987136751867401,0.987136751867401,0,0.00318047194860053,5,100,55,100,100,0.55,1,0.775,0.775,0.553197787715524
"sce2",1.2,8,0.986985957460065,0.986985957460065,0,0.00318397307882909,1,100,17,100,100,0.15,1,0.585,0.585,0.171872499638306
"sce2",1.2,8,0.986985957460065,0.986985957460065,0,0.00318397307882909,2,100,31,100,100,0.3,1,0.655,0.655,0.312822803918327
"sce2",1.2,8,0.986985957460065,0.986985957460065,0,0.00318397307882909,3,100,38,100,100,0.38,1,0.69,0.69,0.383100559906072
"sce2",1.2,8,0.986985957460065,0.986985957460065,0,0.00318397307882909,4,100,46,100,100,0.45,1,0.73,0.73,0.463258705306795
"sce2",1.2,8,0.986985957460065,0.986985957460065,0,0.00318397307882909,5,100,48,100,100,0.55,1,0.74,0.74,0.483271871336365
"sce2",1.2,9,0.986862303266782,0.986862303266782,0,0.00317370574667437,1,100,15,100,100,0.15,1,0.575,0.575,0.151709796848185
"sce2",1.2,9,0.986862303266782,0.986862303266782,0,0.00317370574667437,2,100,30,100,100,0.3,1,0.65,0.65,0.302799162440084
